From	To	Species	Gene Name
1451332_at	Q8BIF5	Mus musculus	zinc finger protein 521
1451332_at	Q6KAS7	Mus musculus	zinc finger protein 521
1451332_at	Q8VDS6	Mus musculus	zinc finger protein 521
1451332_at	Q8CIQ2	Mus musculus	zinc finger protein 521
1451332_at	Q8BV21	Mus musculus	zinc finger protein 521
1452670_at	Q3TW15	Mus musculus	myosin, light polypeptide 9, regulatory
1452670_at	Q9CQ19	Mus musculus	myosin, light polypeptide 9, regulatory
1452670_at	Q80X77	Mus musculus	myosin, light polypeptide 9, regulatory
1452670_at	A2AVY6	Mus musculus	myosin, light polypeptide 9, regulatory
1453498_x_at	Q924Z1	Mus musculus	STEAP family member 3
1453498_x_at	Q8CI59	Mus musculus	STEAP family member 3
1453498_x_at	Q8C5F0	Mus musculus	STEAP family member 3
1453498_x_at	Q3TKE4	Mus musculus	STEAP family member 3
1453498_x_at	Q80ZF3	Mus musculus	STEAP family member 3
1452181_at	B2RRB4	Mus musculus	cytoskeleton-associated protein 4
1452181_at	Q8R3F2	Mus musculus	cytoskeleton-associated protein 4
1452181_at	Q8BMK4	Mus musculus	cytoskeleton-associated protein 4
1452181_at	Q8BTK8	Mus musculus	cytoskeleton-associated protein 4
1452013_at	Q3TA23	Mus musculus	ATPase, class V, type 10A
1452013_at	Q8R3B8	Mus musculus	ATPase, class V, type 10A
1452013_at	Q3V1Y7	Mus musculus	ATPase, class V, type 10A
1452013_at	O54827	Mus musculus	ATPase, class V, type 10A
1452013_at	Q6A046	Mus musculus	ATPase, class V, type 10A
1427367_at	Q8K046	Mus musculus	EF-hand calcium binding domain 4A
1427367_at	Q80ZJ8	Mus musculus	EF-hand calcium binding domain 4A
1427367_at	Q4KMV3	Mus musculus	EF-hand calcium binding domain 4A
1427367_at	Q8R0L0	Mus musculus	EF-hand calcium binding domain 4A
1452405_x_at	Q5R1G4	Mus musculus	RIKEN cDNA A130082M07 gene; T cell receptor alpha variable 9N-3
1452654_at	A0JP44	Mus musculus	zinc finger, DHHC domain containing 2
1452654_at	P59267	Mus musculus	zinc finger, DHHC domain containing 2
1452654_at	A4FUU5	Mus musculus	zinc finger, DHHC domain containing 2
1454651_x_at	Q99KE4	Mus musculus	myelin basic protein
1454651_x_at	Q03139	Mus musculus	myelin basic protein
1454651_x_at	Q61836	Mus musculus	myelin basic protein
1454651_x_at	P04370	Mus musculus	myelin basic protein
1454651_x_at	Q542T4	Mus musculus	myelin basic protein
1454651_x_at	Q61837	Mus musculus	myelin basic protein
1454651_x_at	Q3UGF3	Mus musculus	myelin basic protein
1454651_x_at	Q03176	Mus musculus	myelin basic protein
1454651_x_at	Q09J72	Mus musculus	myelin basic protein
1454651_x_at	Q9QWP1	Mus musculus	myelin basic protein
1454651_x_at	Q5D096	Mus musculus	myelin basic protein
1454651_x_at	Q01585	Mus musculus	myelin basic protein
1452072_at	Q8C6M8	Mus musculus	myc target 1
1452072_at	Q3UQ11	Mus musculus	myc target 1
1452072_at	Q9D182	Mus musculus	myc target 1
1452072_at	Q8R411	Mus musculus	myc target 1
1460295_s_at	Q6PDI9	Mus musculus	interleukin 6 signal transducer
