From	To	Species	Gene Name
1451924_a_at	P70203	Mus musculus	endothelin 1
1451924_a_at	P97338	Mus musculus	endothelin 1
1451924_a_at	P22387	Mus musculus	endothelin 1
1451924_a_at	Q544E0	Mus musculus	endothelin 1
1433543_at	Q9CUY0	Mus musculus	anillin, actin binding protein
1433543_at	Q8K298	Mus musculus	anillin, actin binding protein
1433543_at	Q8BL79	Mus musculus	anillin, actin binding protein
1433543_at	Q8K2N0	Mus musculus	anillin, actin binding protein
1433543_at	Q8BLB3	Mus musculus	anillin, actin binding protein
1433543_at	Q05CD5	Mus musculus	anillin, actin binding protein
1452166_a_at	Q8BVU3	Mus musculus	keratin 10
1452166_a_at	Q8BV09	Mus musculus	keratin 10
1452166_a_at	P02535	Mus musculus	keratin 10
1452166_a_at	Q9CXH6	Mus musculus	keratin 10
1452166_a_at	A2A513	Mus musculus	keratin 10
1452166_a_at	Q9JKB4	Mus musculus	keratin 10
1452166_a_at	P08731	Mus musculus	keratin 10
1452166_a_at	Q8BUX3	Mus musculus	keratin 10
1451535_at	Q8BSU3	Mus musculus	interleukin 31 receptor A
1451535_at	Q6NZF0	Mus musculus	interleukin 31 receptor A
1451535_at	Q6EAL6	Mus musculus	interleukin 31 receptor A
1451535_at	Q8R501	Mus musculus	interleukin 31 receptor A
1451535_at	Q6EAL7	Mus musculus	interleukin 31 receptor A
1451535_at	Q8K5B1	Mus musculus	interleukin 31 receptor A
1451895_a_at	Q8VCH6	Mus musculus	24-dehydrocholesterol reductase
1451895_a_at	Q91ZD0	Mus musculus	24-dehydrocholesterol reductase
1451895_a_at	B1B0I4	Mus musculus	24-dehydrocholesterol reductase
1451895_a_at	Q6ZQK9	Mus musculus	24-dehydrocholesterol reductase
1451895_a_at	Q9CU63	Mus musculus	24-dehydrocholesterol reductase
1449740_s_at	Q8VCE3	Mus musculus	desmoglein 2; similar to Dsg2 protein
1449740_s_at	Q8K069	Mus musculus	desmoglein 2; similar to Dsg2 protein
1449740_s_at	O55111	Mus musculus	desmoglein 2; similar to Dsg2 protein
1449740_s_at	A2RRJ0	Mus musculus	desmoglein 2; similar to Dsg2 protein
1449740_s_at	Q811I1	Mus musculus	desmoglein 2; similar to Dsg2 protein
1449740_s_at	Q8BK55	Mus musculus	desmoglein 2; similar to Dsg2 protein
1449740_s_at	Q8R517	Mus musculus	desmoglein 2; similar to Dsg2 protein
1460188_at	Q63874	Mus musculus	protein tyrosine phosphatase, non-receptor type 6
1460188_at	O35128	Mus musculus	protein tyrosine phosphatase, non-receptor type 6
1460188_at	Q63873	Mus musculus	protein tyrosine phosphatase, non-receptor type 6
1460188_at	Q63872	Mus musculus	protein tyrosine phosphatase, non-receptor type 6
1460188_at	Q3UB72	Mus musculus	protein tyrosine phosphatase, non-receptor type 6
1460188_at	Q921G3	Mus musculus	protein tyrosine phosphatase, non-receptor type 6
1460188_at	Q3TE70	Mus musculus	protein tyrosine phosphatase, non-receptor type 6
1460188_at	Q3UCJ0	Mus musculus	protein tyrosine phosphatase, non-receptor type 6
1460188_at	Q9R0V6	Mus musculus	protein tyrosine phosphatase, non-receptor type 6
1460188_at	Q9QVA8	Mus musculus	protein tyrosine phosphatase, non-receptor type 6
1460188_at	P29351	Mus musculus	protein tyrosine phosphatase, non-receptor type 6
1460188_at	Q9QVA7	Mus musculus	protein tyrosine phosphatase, non-receptor type 6
1460188_at	Q9QVA6	Mus musculus	protein tyrosine phosphatase, non-receptor type 6
1451538_at	B1AVH1	Mus musculus	SRY-box containing gene 9
1451538_at	Q91ZK2	Mus musculus	SRY-box containing gene 9
1451538_at	Q04887	Mus musculus	SRY-box containing gene 9
1451538_at	Q8C7L2	Mus musculus	SRY-box containing gene 9
1451538_at	Q99KQ0	Mus musculus	SRY-box containing gene 9
1451538_at	Q571J2	Mus musculus	SRY-box containing gene 9
1455959_s_at	Q3UNA7	Mus musculus	glutamate-cysteine ligase, catalytic subunit
1455959_s_at	Q8VCS5	Mus musculus	glutamate-cysteine ligase, catalytic subunit
1455959_s_at	Q3TEF1	Mus musculus	glutamate-cysteine ligase, catalytic subunit
1455959_s_at	P97494	Mus musculus	glutamate-cysteine ligase, catalytic subunit
1455959_s_at	O09166	Mus musculus	glutamate-cysteine ligase, catalytic subunit
1455959_s_at	Q9QZG5	Mus musculus	glutamate-cysteine ligase, catalytic subunit
1460412_at	Q99LM8	Mus musculus	fibulin 7
1460412_at	Q501P1	Mus musculus	fibulin 7
1460412_at	Q80WW7	Mus musculus	fibulin 7
1460412_at	Q9DAW5	Mus musculus	fibulin 7
1451956_a_at	Q9JKU9	Mus musculus	sigma non-opioid intracellular receptor 1
1451956_a_at	A2AMS0	Mus musculus	sigma non-opioid intracellular receptor 1
1451956_a_at	A2AMS1	Mus musculus	sigma non-opioid intracellular receptor 1
1451956_a_at	O55242	Mus musculus	sigma non-opioid intracellular receptor 1
1455896_a_at	Q99L99	Mus musculus	potassium channel, subfamily K, member 1
1455896_a_at	O08581	Mus musculus	potassium channel, subfamily K, member 1
1425815_a_at	Q3UPW7	Mus musculus	hyaluronan mediated motility receptor (RHAMM)
1425815_a_at	Q5NC88	Mus musculus	hyaluronan mediated motility receptor (RHAMM)
1425815_a_at	Q3TPG1	Mus musculus	hyaluronan mediated motility receptor (RHAMM)
1425815_a_at	Q3TP93	Mus musculus	hyaluronan mediated motility receptor (RHAMM)
1425815_a_at	Q8VDR2	Mus musculus	hyaluronan mediated motility receptor (RHAMM)
1425815_a_at	Q00547	Mus musculus	hyaluronan mediated motility receptor (RHAMM)
1452542_x_at	Q922S2	Mus musculus	transcription factor E2a
1452542_x_at	Q8VCY4	Mus musculus	transcription factor E2a
1452542_x_at	P15806	Mus musculus	transcription factor E2a
1452542_x_at	Q3U153	Mus musculus	transcription factor E2a
1452542_x_at	Q9CYJ4	Mus musculus	transcription factor E2a
1452542_x_at	Q80Z31	Mus musculus	transcription factor E2a
1452542_x_at	Q99MB8	Mus musculus	transcription factor E2a
1452542_x_at	Q8CAH9	Mus musculus	transcription factor E2a
1452542_x_at	Q9CRT1	Mus musculus	transcription factor E2a
1455573_at	Q91VQ4	Mus musculus	keratin 14
1455573_at	Q61781	Mus musculus	keratin 14
1455573_at	Q61782	Mus musculus	keratin 14
1455573_at	Q99LE0	Mus musculus	keratin 14
1455573_at	A2A4G4	Mus musculus	keratin 14
1448416_at	Q6LD77	Mus musculus	matrix Gla protein
1448416_at	P19788	Mus musculus	matrix Gla protein
1448416_at	Q6NSS4	Mus musculus	matrix Gla protein
1448416_at	Q8VEK8	Mus musculus	matrix Gla protein
1448416_at	Q3TVX6	Mus musculus	matrix Gla protein
1448416_at	Q8JZW0	Mus musculus	matrix Gla protein
AFFX-TransRecMur/X57349_M_at	Q542D9	Mus musculus	transferrin receptor
AFFX-TransRecMur/X57349_M_at	Q61560	Mus musculus	transferrin receptor
AFFX-TransRecMur/X57349_M_at	Q8JZS3	Mus musculus	transferrin receptor
AFFX-TransRecMur/X57349_M_at	Q62351	Mus musculus	transferrin receptor
AFFX-TransRecMur/X57349_M_at	Q8C872	Mus musculus	transferrin receptor
1456055_x_at	Q8C2N0	Mus musculus	polymerase (DNA directed), delta 1, catalytic subunit
1456055_x_at	O54883	Mus musculus	polymerase (DNA directed), delta 1, catalytic subunit
1456055_x_at	Q91VT0	Mus musculus	polymerase (DNA directed), delta 1, catalytic subunit
1456055_x_at	Q3TFX6	Mus musculus	polymerase (DNA directed), delta 1, catalytic subunit
1456055_x_at	P52431	Mus musculus	polymerase (DNA directed), delta 1, catalytic subunit
1460541_at	Q3TMY5	Mus musculus	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6
1460541_at	Q6ZQF5	Mus musculus	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6
1460541_at	Q3U084	Mus musculus	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6
1460541_at	Q8CFY3	Mus musculus	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6
1460541_at	Q8BGK6	Mus musculus	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6
1460347_at	Q91VQ4	Mus musculus	keratin 14
1460347_at	Q61781	Mus musculus	keratin 14
1460347_at	Q61782	Mus musculus	keratin 14
1460347_at	Q99LE0	Mus musculus	keratin 14
1460347_at	A2A4G4	Mus musculus	keratin 14
1452031_at	Q543U3	Mus musculus	solute carrier family 1 (glial high affinity glutamate transporter), member 3
1452031_at	Q99P53	Mus musculus	solute carrier family 1 (glial high affinity glutamate transporter), member 3
1452031_at	Q8C3T7	Mus musculus	solute carrier family 1 (glial high affinity glutamate transporter), member 3
1452031_at	Q8C7W8	Mus musculus	solute carrier family 1 (glial high affinity glutamate transporter), member 3
1452031_at	P56564	Mus musculus	solute carrier family 1 (glial high affinity glutamate transporter), member 3
