From	To	Species	Gene Name
1452251_at	Q6P2L4	Mus musculus	neurobeachin
1452251_at	Q9EPN1	Mus musculus	neurobeachin
1452251_at	Q9EPN0	Mus musculus	neurobeachin
1452251_at	Q9EPM9	Mus musculus	neurobeachin
1452251_at	Q8C931	Mus musculus	neurobeachin
1452251_at	Q9WVM9	Mus musculus	neurobeachin
1438083_at	Q9WU59	Mus musculus	Hedgehog-interacting protein
1438083_at	Q8C0B0	Mus musculus	Hedgehog-interacting protein
1438083_at	Q7TN16	Mus musculus	Hedgehog-interacting protein
1452380_at	Q61772	Mus musculus	Eph receptor A7
1452380_at	Q61773	Mus musculus	Eph receptor A7
1452380_at	Q61505	Mus musculus	Eph receptor A7
1452380_at	Q8CCF9	Mus musculus	Eph receptor A7
1452380_at	A2BDQ5	Mus musculus	Eph receptor A7
1452380_at	A2BDQ4	Mus musculus	Eph receptor A7
1452380_at	Q8R381	Mus musculus	Eph receptor A7
1452380_at	Q8BSU8	Mus musculus	Eph receptor A7
1452380_at	Q61774	Mus musculus	Eph receptor A7
1452380_at	Q3V3T7	Mus musculus	Eph receptor A7
1452380_at	Q8CC52	Mus musculus	Eph receptor A7
1451268_at	Q8C6X6	Mus musculus	translocation associated membrane protein 1-like 1
1451268_at	Q8QZR0	Mus musculus	translocation associated membrane protein 1-like 1
1451268_at	Q8C455	Mus musculus	translocation associated membrane protein 1-like 1
1451863_at	Q8VIH9	Mus musculus	urotensin 2 receptor
1451863_at	Q05AD1	Mus musculus	urotensin 2 receptor
1450724_at	Q3U2M0	Mus musculus	family with sequence similarity 126, member A
1450724_at	Q3TTP7	Mus musculus	family with sequence similarity 126, member A
1450724_at	Q6P9N1	Mus musculus	family with sequence similarity 126, member A
1450724_at	Q99NC4	Mus musculus	family with sequence similarity 126, member A
1460250_at	Q9CQN4	Mus musculus	sclerostin domain containing 1
1460250_at	Q8CF09	Mus musculus	sclerostin domain containing 1
1451153_a_at	Q6P6J7	Mus musculus	cysteine and histidine rich 1
1451153_a_at	Q9QXA1	Mus musculus	cysteine and histidine rich 1
1451153_a_at	Q8BI28	Mus musculus	cysteine and histidine rich 1
1451153_a_at	Q6ZQA2	Mus musculus	cysteine and histidine rich 1
1451153_a_at	Q9D134	Mus musculus	cysteine and histidine rich 1
1460668_at	Q3V002	Mus musculus	galanin
1460668_at	P47212	Mus musculus	galanin
1456370_s_at	A2A8E4	Mus musculus	RIKEN cDNA 0610037L13 gene
1456370_s_at	A2A8E3	Mus musculus	RIKEN cDNA 0610037L13 gene
1456370_s_at	Q8BHG2	Mus musculus	RIKEN cDNA 0610037L13 gene
1456370_s_at	A2A8E2	Mus musculus	RIKEN cDNA 0610037L13 gene
1456370_s_at	A2A8E1	Mus musculus	RIKEN cDNA 0610037L13 gene
1456370_s_at	Q9D1H2	Mus musculus	RIKEN cDNA 0610037L13 gene
1456370_s_at	Q8C7D6	Mus musculus	RIKEN cDNA 0610037L13 gene
1456370_s_at	Q9DCH5	Mus musculus	RIKEN cDNA 0610037L13 gene
1456370_s_at	A2A8E5	Mus musculus	RIKEN cDNA 0610037L13 gene
1452331_s_at	A2BIE1	Mus musculus	glutamine and serine rich 1
1452331_s_at	Q3UR75	Mus musculus	glutamine and serine rich 1
1452331_s_at	Q8C5D6	Mus musculus	glutamine and serine rich 1
1452331_s_at	Q8VDM2	Mus musculus	glutamine and serine rich 1
1460386_a_at	Q8VI14	Mus musculus	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
1460386_a_at	P51906	Mus musculus	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
1460386_a_at	Q9QWI2	Mus musculus	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
1460386_a_at	O35875	Mus musculus	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
1460386_a_at	O35869	Mus musculus	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
1460386_a_at	Q9QWI1	Mus musculus	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
1460386_a_at	O88946	Mus musculus	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
1460386_a_at	Q6P1F7	Mus musculus	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
1460386_a_at	Q9D393	Mus musculus	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
1460386_a_at	Q6P1Z8	Mus musculus	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
1460348_at	A2A7G6	Mus musculus	MAD2 mitotic arrest deficient-like 2 (yeast)
1460348_at	A2A7G7	Mus musculus	MAD2 mitotic arrest deficient-like 2 (yeast)
1460348_at	Q9D752	Mus musculus	MAD2 mitotic arrest deficient-like 2 (yeast)
1460348_at	Q91VP1	Mus musculus	MAD2 mitotic arrest deficient-like 2 (yeast)
1460348_at	A2A7G5	Mus musculus	MAD2 mitotic arrest deficient-like 2 (yeast)
1460348_at	A2A7G8	Mus musculus	MAD2 mitotic arrest deficient-like 2 (yeast)
1460348_at	Q3TMY6	Mus musculus	MAD2 mitotic arrest deficient-like 2 (yeast)
1455918_at	P25962	Mus musculus	adrenergic receptor, beta 3
1455918_at	Q3UP63	Mus musculus	adrenergic receptor, beta 3
1455918_at	Q9QZ98	Mus musculus	adrenergic receptor, beta 3
1455918_at	A2RS74	Mus musculus	adrenergic receptor, beta 3
1448201_at	Q3UUM9	Mus musculus	secreted frizzled-related protein 2
1448201_at	Q3UI35	Mus musculus	secreted frizzled-related protein 2
1448201_at	P97299	Mus musculus	secreted frizzled-related protein 2
1448201_at	O08862	Mus musculus	secreted frizzled-related protein 2
